script_id,Link,imdb_id,title,year,gross,writer,producer,director
633,https://api.themoviedb.org/3/find/tt1019452?api_key=1e0dcaa7e93980fb84e1d2430d01b887&external_source=imdb_id,tt1019452,A Serious Man,2009,10,m,m,m
653,https://api.themoviedb.org/3/find/tt0248667?api_key=1e0dcaa7e93980fb84e1d2430d01b887&external_source=imdb_id,tt0248667,Ali,2001,89,m,m,m
678,https://api.themoviedb.org/3/find/tt0289848?api_key=1e0dcaa7e93980fb84e1d2430d01b887&external_source=imdb_id,tt0289848,Analyze This,2002,48,m,m,m
714,https://api.themoviedb.org/3/find/tt0215545?api_key=1e0dcaa7e93980fb84e1d2430d01b887&external_source=imdb_id,tt0215545,Bamboozled,2000,3,m,m,m
726,https://api.themoviedb.org/3/find/tt0163978?api_key=1e0dcaa7e93980fb84e1d2430d01b887&external_source=imdb_id,tt0163978,The Beach,2000,64,m,m,m
740,https://api.themoviedb.org/3/find/tt0319061?api_key=1e0dcaa7e93980fb84e1d2430d01b887&external_source=imdb_id,tt0319061,Big Fish,2003,95,m,m,m
745,https://api.themoviedb.org/3/find/tt0387877?api_key=1e0dcaa7e93980fb84e1d2430d01b887&external_source=imdb_id,tt0387877,The Black Dahlia,2006,29,m,m,m
781,https://api.themoviedb.org/3/find/tt0315327?api_key=1e0dcaa7e93980fb84e1d2430d01b887&external_source=imdb_id,tt0315327,Bruce Almighty,2003,350,m,m,m
785,https://api.themoviedb.org/3/find/tt0887883?api_key=1e0dcaa7e93980fb84e1d2430d01b887&external_source=imdb_id,tt0887883,Burn After Reading,2008,73,m,m,m
789,https://api.themoviedb.org/3/find/tt0162222?api_key=1e0dcaa7e93980fb84e1d2430d01b887&external_source=imdb_id,tt0162222,Cast Away,2000,377,m,f,m
793,https://api.themoviedb.org/3/find/tt0337921?api_key=1e0dcaa7e93980fb84e1d2430d01b887&external_source=imdb_id,tt0337921,Cellular,2004,44,m,m,m
795,https://api.themoviedb.org/3/find/tt0824747?api_key=1e0dcaa7e93980fb84e1d2430d01b887&external_source=imdb_id,tt0824747,Changeling,2008,43,m,f,m
814,https://api.themoviedb.org/3/find/tt0270288?api_key=1e0dcaa7e93980fb84e1d2430d01b887&external_source=imdb_id,tt0270288,Confessions of a Dangerous Mind,2002,,m,m,m
815,https://api.themoviedb.org/3/find/tt0233469?api_key=1e0dcaa7e93980fb84e1d2430d01b887&external_source=imdb_id,tt0233469,Collateral Damage,2002,59,m,m,m
818,https://api.themoviedb.org/3/find/tt0360486?api_key=1e0dcaa7e93980fb84e1d2430d01b887&external_source=imdb_id,tt0360486,Constantine,2005,102,m,m,m
822,https://api.themoviedb.org/3/find/tt0306685?api_key=1e0dcaa7e93980fb84e1d2430d01b887&external_source=imdb_id,tt0306685,Cradle 2 the Grave,2003,49,m,m,m
850,https://api.themoviedb.org/3/find/tt0266452?api_key=1e0dcaa7e93980fb84e1d2430d01b887&external_source=imdb_id,tt0266452,Death to Smoochy,2002,12,m,f,m
851,https://api.themoviedb.org/3/find/tt0800240?api_key=1e0dcaa7e93980fb84e1d2430d01b887&external_source=imdb_id,tt0800240,Deception,2008,5,m,m,m
855,https://api.themoviedb.org/3/find/tt1034303?api_key=1e0dcaa7e93980fb84e1d2430d01b887&external_source=imdb_id,tt1034303,Defiance,2008,34,m,m,m
863,https://api.themoviedb.org/3/find/tt0486822?api_key=1e0dcaa7e93980fb84e1d2430d01b887&external_source=imdb_id,tt0486822,Disturbia,2007,101,m,f,m
879,https://api.themoviedb.org/3/find/tt1059786?api_key=1e0dcaa7e93980fb84e1d2430d01b887&external_source=imdb_id,tt1059786,Eagle Eye,2008,122,m,m,m
885,https://api.themoviedb.org/3/find/tt0414055?api_key=1e0dcaa7e93980fb84e1d2430d01b887&external_source=imdb_id,tt0414055,Elizabeth: The Golden Age,2007,20,m,m,m
915,https://api.themoviedb.org/3/find/tt0195714?api_key=1e0dcaa7e93980fb84e1d2430d01b887&external_source=imdb_id,tt0195714,Final Destination,2000,86,m,m,m
935,https://api.themoviedb.org/3/find/tt1046173?api_key=1e0dcaa7e93980fb84e1d2430d01b887&external_source=imdb_id,tt1046173,G.I. Joe: The Rise of Cobra,2009,174,m,m,m
939,https://api.themoviedb.org/3/find/tt1034032?api_key=1e0dcaa7e93980fb84e1d2430d01b887&external_source=imdb_id,tt1034032,Gamer,2009,23,m,m,m
942,https://api.themoviedb.org/3/find/tt0217505?api_key=1e0dcaa7e93980fb84e1d2430d01b887&external_source=imdb_id,tt0217505,Gangs of New York,2002,116,m,f,m
953,https://api.themoviedb.org/3/find/tt0210070?api_key=1e0dcaa7e93980fb84e1d2430d01b887&external_source=imdb_id,tt0210070,Ginger Snaps,2000,,f,f,m
962,https://api.themoviedb.org/3/find/tt0348836?api_key=1e0dcaa7e93980fb84e1d2430d01b887&external_source=imdb_id,tt0348836,Gothika,2003,85,m,m,m
988,https://api.themoviedb.org/3/find/tt0366551?api_key=1e0dcaa7e93980fb84e1d2430d01b887&external_source=imdb_id,tt0366551,Harold & Kumar Go to White Castle,2004,25,m,m,m
989,https://api.themoviedb.org/3/find/tt0295297?api_key=1e0dcaa7e93980fb84e1d2430d01b887&external_source=imdb_id,tt0295297,Harry Potter and the Chamber of Secrets,2002,392,f,m,m
991,https://api.themoviedb.org/3/find/tt0241527?api_key=1e0dcaa7e93980fb84e1d2430d01b887&external_source=imdb_id,tt0241527,Harry Potter and the Sorcerer's Stone,2001,488,f,m,m
992,https://api.themoviedb.org/3/find/tt0304141?api_key=1e0dcaa7e93980fb84e1d2430d01b887&external_source=imdb_id,tt0304141,Harry Potter and the Prisoner of Azkaban,2004,348,f,m,m
1001,https://api.themoviedb.org/3/find/tt0252503?api_key=1e0dcaa7e93980fb84e1d2430d01b887&external_source=imdb_id,tt0252503,Heist,2001,,m,m,m
1002,https://api.themoviedb.org/3/find/tt0411477?api_key=1e0dcaa7e93980fb84e1d2430d01b887&external_source=imdb_id,tt0411477,Hellboy II: The Golden Army,2008,91,m,m,m
1028,https://api.themoviedb.org/3/find/tt0317705?api_key=1e0dcaa7e93980fb84e1d2430d01b887&external_source=imdb_id,tt0317705,The Incredibles,2004,365,m,m,m
1041,https://api.themoviedb.org/3/find/tt0138524?api_key=1e0dcaa7e93980fb84e1d2430d01b887&external_source=imdb_id,tt0138524,Intolerable Cruelty,2003,50,m,m,m
1044,https://api.themoviedb.org/3/find/tt1058017?api_key=1e0dcaa7e93980fb84e1d2430d01b887&external_source=imdb_id,tt1058017,The Invention of Lying,2009,21,m,f,m
1046,https://api.themoviedb.org/3/find/tt0317740?api_key=1e0dcaa7e93980fb84e1d2430d01b887&external_source=imdb_id,tt0317740,The Italian Job,2003,152,m,m,m
1062,https://api.themoviedb.org/3/find/tt0163025?api_key=1e0dcaa7e93980fb84e1d2430d01b887&external_source=imdb_id,tt0163025,Jurassic Park III,2001,278,m,m,m
1091,https://api.themoviedb.org/3/find/tt1197624?api_key=1e0dcaa7e93980fb84e1d2430d01b887&external_source=imdb_id,tt1197624,Law Abiding Citizen,2009,85,m,m,m
1093,https://api.themoviedb.org/3/find/tt0250494?api_key=1e0dcaa7e93980fb84e1d2430d01b887&external_source=imdb_id,tt0250494,Legally Blonde,2001,146,f,m,m
1094,https://api.themoviedb.org/3/find/tt1038686?api_key=1e0dcaa7e93980fb84e1d2430d01b887&external_source=imdb_id,tt1038686,Legion,2010,44,m,m,m
1114,https://api.themoviedb.org/3/find/tt0167260?api_key=1e0dcaa7e93980fb84e1d2430d01b887&external_source=imdb_id,tt0167260,The Lord of the Rings: The Return of the King,2003,543,m,m,m
1115,https://api.themoviedb.org/3/find/tt0120737?api_key=1e0dcaa7e93980fb84e1d2430d01b887&external_source=imdb_id,tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,482,m,m,m
1116,https://api.themoviedb.org/3/find/tt0167261?api_key=1e0dcaa7e93980fb84e1d2430d01b887&external_source=imdb_id,tt0167261,The Lord of the Rings: The Two Towers,2002,509,m,m,m
1143,https://api.themoviedb.org/3/find/tt0234215?api_key=1e0dcaa7e93980fb84e1d2430d01b887&external_source=imdb_id,tt0234215,The Matrix Reloaded,2003,405,m,m,m
1146,https://api.themoviedb.org/3/find/tt0467197?api_key=1e0dcaa7e93980fb84e1d2430d01b887&external_source=imdb_id,tt0467197,Max Payne,2008,49,m,m,m
1153,https://api.themoviedb.org/3/find/tt1013753?api_key=1e0dcaa7e93980fb84e1d2430d01b887&external_source=imdb_id,tt1013753,Milk,2008,38,m,m,m
1165,https://api.themoviedb.org/3/find/tt0183523?api_key=1e0dcaa7e93980fb84e1d2430d01b887&external_source=imdb_id,tt0183523,Mission to Mars,2000,98,m,m,m
1166,https://api.themoviedb.org/3/find/tt0166276?api_key=1e0dcaa7e93980fb84e1d2430d01b887&external_source=imdb_id,tt0166276,Monkeybone,2001,8,m,m,m
1186,https://api.themoviedb.org/3/find/tt0363282?api_key=1e0dcaa7e93980fb84e1d2430d01b887&external_source=imdb_id,tt0363282,New York Minute,2004,19,f,f,f
1190,https://api.themoviedb.org/3/find/tt0435705?api_key=1e0dcaa7e93980fb84e1d2430d01b887&external_source=imdb_id,tt0435705,Next,2007,22,m,m,m
1211,https://api.themoviedb.org/3/find/tt1148204?api_key=1e0dcaa7e93980fb84e1d2430d01b887&external_source=imdb_id,tt1148204,Orphan,2009,48,m,m,m
1212,https://api.themoviedb.org/3/find/tt0467200?api_key=1e0dcaa7e93980fb84e1d2430d01b887&external_source=imdb_id,tt0467200,The Other Boleyn Girl,2008,32,m,m,m
1213,https://api.themoviedb.org/3/find/tt0035423?api_key=1e0dcaa7e93980fb84e1d2430d01b887&external_source=imdb_id,tt0035423,Kate & Leopold,2001,72,m,m,m
